2018-02-05-13-51-22    825D5122.FIT
2018-02-06-07-25-49    82672549.FIT
2018-02-07-07-35-31    82773531.FIT
2018-02-12-17-53-14    82CH5314.FIT
2018-02-14-16-11-32    82EG1132.FIT
2018-02-15-08-10-35    82F81035.FIT
2018-02-15-12-34-59    82FC3459.FIT
2018-02-15-16-12-32    82FG1232.FIT
2018-02-16-17-49-16    82GH4916.FIT
2018-02-17-17-13-31    82HH1331.FIT
2018-02-18-17-24-53    82IH2453.FIT
2018-02-19-07-52-39    82J75239.FIT
2018-02-20-09-34-33    82K93433.FIT
2018-02-20-13-16-17    82KD1617.FIT
2018-02-21-07-57-29    82L75729.FIT
2018-02-22-09-01-27    82M90127.FIT
2018-02-23-18-01-46    82NI0146.FIT
2018-02-24-14-21-23    82OE2123.FIT
2018-02-25-15-39-53    82PF3953.FIT
2018-02-26-09-10-09    82Q91009.FIT
2018-02-26-16-11-54    82QG1154.FIT
2018-02-27-07-59-04    82R75904.FIT
2018-02-27-09-54-53    82R95453.FIT
2018-02-27-14-43-16    82RE4316.FIT
2018-02-28-08-42-07    82S84207.FIT
2018-03-01-08-27-39    83182739.FIT
2018-03-01-14-51-35    831E5135.FIT
2018-03-01-17-23-38    831H2338.FIT
2018-03-02-09-46-00    83294600.FIT
2018-03-02-14-04-58    832E0458.FIT
2018-03-02-15-12-16    832F1216.FIT
2018-03-03-15-21-52    833F2152.FIT
2018-03-04-07-47-30    83474730.FIT
2018-03-05-14-37-38    835E3738.FIT
2018-03-06-10-18-43    836A1843.FIT
2018-03-06-12-23-25    836C2325.FIT
2018-03-06-13-46-53    836D4653.FIT
2018-03-07-13-31-28    837D3128.FIT
2018-03-09-12-13-38    839C1338.FIT
2018-03-09-17-21-47    839H2147.FIT
2018-03-10-14-50-00    83AE5000.FIT
2018-03-11-09-49-17    83B94917.FIT
2018-03-12-08-12-52    83C81252.FIT
2018-03-12-09-39-11    83C93911.FIT
2018-03-12-13-46-59    83CD4659.FIT
2018-03-13-08-42-34    83D84234.FIT
2018-03-13-13-11-25    83DD1125.FIT
2018-03-13-15-59-00    83DF5900.FIT
2018-03-14-09-42-36    83E94236.FIT
2018-03-14-13-19-33    83ED1933.FIT
2018-03-15-08-45-57    83F84557.FIT
2018-03-15-12-14-45    83FC1445.FIT
2018-03-16-08-25-51    83G82551.FIT
2018-03-16-16-06-18    83GG0618.FIT
2018-03-17-14-59-49    83HE5949.FIT
2018-03-18-15-40-52    83IF4052.FIT
2018-03-19-10-50-42    83JA5042.FIT
2018-03-19-15-39-31    83JF3931.FIT
2018-03-19-17-51-04    83JH5104.FIT
2018-03-20-08-43-58    83K84358.FIT
2018-03-20-16-53-26    83KG5326.FIT
2018-03-21-08-10-58    83L81058.FIT
2018-03-22-08-07-35    83M80735.FIT
2018-03-22-11-27-50    83MB2750.FIT
2018-03-22-17-11-12    83MH1112.FIT
2018-03-23-09-05-39    83N90539.FIT
2018-03-23-12-22-00    83NC2200.FIT
2018-03-24-15-03-31    83OF0331.FIT
2018-03-25-11-20-30    83PB2030.FIT
2018-03-25-15-29-30    83PF2930.FIT
2018-03-30-09-21-00    83U92100.FIT
2018-03-31-16-27-06    83VG2706.FIT
2018-04-01-15-03-43    841F0343.FIT
2018-04-03-09-43-40    84394340.FIT
2018-04-03-11-54-54    843B5454.FIT
2018-04-03-16-59-02    843G5902.FIT
2018-04-04-15-19-16    844F1916.FIT
2018-04-05-15-43-26    845F4326.FIT
2018-04-19-12-06-46    84JC0646.FIT
2018-04-20-10-20-46    84KA2046.FIT
2018-04-21-16-47-10    84LG4710.FIT
2018-04-22-16-38-46    84MG3846.FIT
2018-04-23-09-06-53    84N90653.FIT
2018-04-25-15-15-21    84PF1521.FIT
2018-04-26-14-50-02    84QE5002.FIT
2018-04-27-07-21-20    84R72120.FIT
2018-04-27-21-17-54    84RL1754.FIT
2018-04-28-08-45-35    84S84535.FIT
2018-04-29-21-58-47    84TL5847.FIT
2018-04-30-07-48-42    84U74842.FIT
2018-05-01-07-30-23    85173023.FIT
2018-05-02-17-08-46    852H0846.FIT
2018-05-03-07-18-39    85371839.FIT
2018-05-03-20-56-43    853K5643.FIT
2018-05-06-09-10-24    85691024.FIT
2018-05-08-06-55-17    85865517.FIT
2018-05-08-17-11-38    858H1138.FIT
2018-05-09-13-07-38    859D0738.FIT
2018-05-10-17-28-34    85AH2834.FIT
2018-05-12-08-31-48    85C83148.FIT
2018-05-12-09-53-50    85C95350.FIT
2018-05-13-09-02-17    85D90217.FIT
2018-05-13-11-29-04    85DB2904.FIT
2018-05-14-19-54-28    85EJ5428.FIT
2018-05-15-06-28-28    85F62828.FIT
2018-05-17-06-15-37    85H61537.FIT
2018-05-18-06-34-13    85I63413.FIT
2018-05-19-09-08-08    85J90808.FIT
2018-05-20-10-02-45    85KA0245.FIT
2018-05-22-06-25-19    85M62519.FIT
2018-05-23-06-24-56    85N62456.FIT
2018-05-24-06-18-01    85O61801.FIT
2018-05-25-08-21-53    85P82153.FIT
2018-05-26-08-24-21    85Q82421.FIT
2018-05-27-08-30-13    85R83013.FIT
2018-05-28-08-00-59    85S80059.FIT
2018-05-29-06-37-43    85T63743.FIT
2018-06-02-09-29-34    86292934.FIT
2018-06-04-06-23-06    86462306.FIT
2018-06-05-13-14-13    865D1413.FIT
2018-06-07-06-22-12    86762212.FIT
2018-06-09-09-40-03    86994003.FIT
2018-06-10-10-09-27    86AA0927.FIT
2018-06-11-14-36-24    86BE3624.FIT
2018-06-22-06-18-06    86M61806.FIT
2018-06-23-08-35-42    86N83542.FIT
2018-06-30-06-31-12    86U63112.FIT
2018-07-01-08-13-31    87181331.FIT
2018-07-04-06-23-00    87462300.FIT
2018-07-05-06-50-18    87565018.FIT
2018-07-06-06-14-54    87661454.FIT
2018-07-07-06-27-46    87762746.FIT
2018-07-09-06-40-38    87964038.FIT
2018-07-10-06-22-15    87A62215.FIT
2018-07-11-06-07-04    87B60704.FIT
2018-07-11-16-50-29    87BG5029.FIT
2018-07-12-05-24-19    87C52419.FIT
2018-07-13-05-24-55    87D52455.FIT
2018-07-14-06-22-17    87E62217.FIT
